ID,Coordenadas X,Coordenadas Y,Longitud corregida,Latitud corregida,Sitio,árbol ID,Codigo SAU,Especie árbol,CAP1,CAP2,CAP3,CAP4,Altura copa,Altura total,Foto Árbol 2023,ID epífita,Nombre común,Nombre común actualizado,Familia,Especie epífita,Ubicación en el árbol,Altura planta,Mortalidad 1 (12-04-2016),Desaparicion 1,12/04/16,Mortalidad 2 (12-05-2016),Desaparicion 2,12/05/16,Mortalidad 3 (16-06-2016),Desaparicion 3,42537,Mortalidad 4 (18-09-2016),Desaparicion 4,42631,Mortalidad (05-2017),Desaparicion (05-2017),42856,Mortalidad (06-2017),Desaparición (06-2017),42887,Mortalidad 7 (12-2017),Desaparición 7 (12-2017),43070,Mortalidad 8 (05/02/2018),Desaparición 8 (05/02/2018),43136,Mortalidad 9 (12/07/2018),Desaparición 9 (12/07/2018),43293,Mortalidad 10 (12/12/2018),Desaparición 10 (12/12/2018),43446,45108,nuevas hojas 1,nuevas hojas 2,nuevas hojas 3,nuevas hojas  4,Nuevas hojas (05-2017),Nuevas hojas (06-2017),Nuevas hojas (12-2017),Nuevas hojas (05/02/2018),Nuevas hojas (12/07/2018),Nuevas Hojas 112/12/2018,nuevas raices 1,nuevas raices 2,nuevas raices 3,nuevas raices 4,Nuevas raices (05-2017),Nuevas raíces (06-2017),Nuevas Raíces (12-2017),Nuevas Raíces (05/02/2018),Nuevas Raíces (12/07/2018),Nuevas Raices 12/12/2018,Estado fitosanitario 1,Estado Fitosanitario 2,Estado Fitosanitario 3,Estado Fitosanitario 4,Estado fitosanitario (05-2017),Estado fitosanitario (06-2017),Estado Fitosanitario (12-2017),Estado Fitosanitario (05/02/2018),Estado Fitosanitario (12/07/2018),Estado fitosanitario 12/12/2018,floracion 1,floracion 2,floracion 3,floracion 4,Floracion (05-2017),Floración (06-2017),Floración (12-2017),Floración (5/02/2018),Floración (12/07/2018),Floración 12/12/2018,fructificacion 1,fructificacion 2,fructificacion 3,fructificacion 4,Fructificacion (05-2017),Fructificación (06-2017),Fructificación (12-2017),Fructificación (05/02/2018),Fructificación (12/07/2018),Frutificación 12/12/2018,Observaciones 12/12/2018,Desaparecido/ muerto 2023,Estado fitosanitario 2023,Fenología 2023,Número de hojas/tallos/ clones 2023,Foto planta 2023,Observaciones 2023
1,-75.563,626.924,-75.581512,6.240163,Parque Lineal El Refugio,1,No,Ficus lyrata,163.5,,,,5,13,8559,32,Salvini,Salvini,Araceae,Anthurium salvinii,rama interna,4.8,0,5,5,0,0,0,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3,1,4,7,5,5,0,0,0,0,si,0,no,si,si,0,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,B,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,,No,Bueno,Infertil,6,,
2,-75.563,626.924,-75.581512,6.240163,Parque Lineal El Refugio,1,No,Ficus lyrata,163.5,,,,5,13,8559,72,Salvini,Salvini,Araceae,Anthurium salvinii,rama interna,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,,,0,,,0,,,0,1,0,0,0,0,4,1,0,,,,0,0,0,0,si,1,0,,,,Bueno,Bueno,Bueno,Bueno,Bueno,Regular,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,Si,,,,,
3,-75.563,626.924,-75.581512,6.240163,Parque Lineal El Refugio,1,No,Ficus lyrata,163.5,,,,5,13,8559,180,Helecho espada,Helecho espada,Aspleniaceae,Asplenium cf. nidus,rama interna,6,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,,,0,,,0,,,0,,,0,,,0,1,0,0,0,0,-,,,,,,0,0,0,0,-,,0,,,,Regular,Bueno,Bueno,Bueno,-,,0,,,,0,0,0,0,-,,,,,,0,0,0,0,-,,0,,,,,Si,,,,,
4,-75.563,626.924,-75.581512,6.240163,Parque Lineal El Refugio,1,No,Ficus lyrata,163.5,,,,5,13,8559,335,Cattleya,Cattleya,Orchidaceae,Cattleya sp.,rama interna,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,,,0,,,0,,,0,1,1,0,0,0,4,1,0,,,,0,0,0,0,si,1,0,,,,Bueno,Bueno,Bueno,Regular,Bueno,Bueno,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,Si,,,,,
5,-7.558.131,624.027,-75.58131,6.24027,Parque Lineal El Refugio,2,No,Erythrina fusca,417,,,,5,14,8561,1,Salvini,Salvini,Araceae,Anthurium salvinii,rama interna,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,0,0,1,0,0,0,0,3,1,5,5,6,3,0,0,0,0,si,1,si,si,si,Si,Regular,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Regular,B,0,0,0,0,0,0,,0,,1,0,0,0,0,0,0,0,0,,0,Sin cuerda sosteniendo,Si,,,,,
6,-7.558.131,624.027,-75.58131,6.24027,Parque Lineal El Refugio,2,No,Erythrina fusca,417,,,,5,14,8561,2,Salvini,Salvini,Araceae,Anthurium salvinii,rama interna,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,4,1,2,2,3,3,1,0,0,0,si,0,si,si,si,Si,Bueno,Bueno,Bueno,Bueno,Regular,Bueno,Bueno,Bueno,Bueno,B,0,0,0,0,0,0,,si,,0,0,0,0,0,0,0,0,0,,0,,No,Bueno,Infertil,6,,
7,-7.558.131,624.027,-75.58131,6.24027,Parque Lineal El Refugio,2,No,Erythrina fusca,417,,,,5,14,8561,38,Salvini,Salvini,Araceae,Anthurium salvinii,rama externa,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,0,0,1,0,0,0,0,2,1,6,9,6,7,0,0,0,0,si,0,si,si,si,Si,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,Bueno,B,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,,0,,Si,,,,,
8,-7.558.131,624.027,-75.58131,6.24027,Parque Lineal El Refugio,2,No,Erythrina fusca,417,,,,5,14,8561,105,Salvini,Salvini,Araceae,Anthurium salvinii,rama externa,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,4,1,4,4,8,7,0,0,0,0,si,0,si,si,si,Si,Regular,Regular,Regular,Bueno,Bueno,Regular,Bueno,Bueno,Bueno,B,1,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,,0,,No,Bueno,Infertil,9,,
9,-7558131,624.027,-75.58131,6.24027,Parque Lineal El Refugio,2,No,Erythrina fusca,417,,,,5,14,8561,123,Salvini,Salvini,Araceae,Anthurium salvinii,fuste,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,1,1,0,1,1,,1,1,1,0,0,0,0,2,1,0,,6,0,0,1,0,0,si,1,0,,si,0,Bueno,Bueno,Bueno,Bueno,Regular,Bueno,0,,Bueno,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,,Si,,,,,
10,-7.558.131,624.027,-75.58131,6.24027,Parque Lineal El Refugio,2,No,Erythrina fusca,417,,,,5,14,8561,128,Salvini,Salvini,Araceae,Anthurium salvinii,rama externa,4.8,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,,,0,,,0,,,0,,,0,,,0,1,0,0,0,0,-,,,,,,0,0,0,0,-,,0,,,,Bueno,Bueno,Bueno,Bueno,-,,0,,,,0,0,0,0,-,,,,,,0,0,0,0,-,,0,,,,,Si,,,,,
11,-7.558.131,624.027,-75.58131,6.24027,Parque Lineal El Refugio,2,No,Erythrina fusca,417,,,,5,14,8561,152,Helecho espada,Helecho espada,Aspleniaceae,Asplenium cf. nidus,rama externa,5.3,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,,,0,,,0,,,0,,,0,,,0,1,0,0,0,0,-,,,,,,0,0,0,0,-,,0,,,,Bueno,Bueno,Bueno,Bueno,-,,0,,,,0,0,0,0,-,,,,,,0,0,0,0,-,,0,,,,,Si,,,,,
12,-7.558.131,624.027,-75.58131,6.24027,Parque Lineal El Refugio,2,No,Erythrina fusca,417,,,,5,14,8561,320,Cattleya,Cattleya,Orchidaceae,Cattleya sp.,rama externa,5.1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,,,0,0,0,0,0,,0,,0,0,1,0,0,0,0,7,1,5,5,,6,0,0,0,0,si,0,si,0,,Si,Bueno,Malo,NA,NA,Bueno,Malo,Regular,Bueno,,B,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,,0,,Si,,,,,
13,-7.558.131,624.027,-75.58131,6.24027,Parque Lineal El Refugio,2,No,Erythrina fusca,417,,,,5,14,8561,343,Cattleya,Cattleya,Orchidaceae,Cattleya sp.,rama interna,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,0,,,0,,,0,1,0,0,0,0,4,1,0,,,,0,0,0,0,si,1,0,,, ,Regular,Bueno,Bueno,Bueno,Bueno,Bueno,0,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,Si,,,,,
14,-7.558.131,624.027,-75.58131,6.24027,Parque Lineal El Refugio,2,No,Erythrina fusca,417,,,,5,14,8561,359,Cattleya,Cattleya,Orchidaceae,Cattleya sp.,rama externa,4.1,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,,,0,,,0,,,0,,,0,,,0,1,0,0,0,0,-,,,,,,1,0,0,0,-,,0,,,,Bueno,Bueno,Bueno,Bueno,-,,0,,,,0,0,0,0,-,,,,,,0,0,0,0,-,,0,,,,,Si,,,,,
15,-7.558.136,624.056,-75.58136,6.24056,Parque Lineal El Refugio,3,No,Pithecellobium dulce,143.5,129.6,,,5,12,8561,66,Salvini,Salvini,Araceae,Anthurium salvinii,rama externa,4.1,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,,,0,,,0,,1,1,0,,0,,0,0,0,0,0,1,0,-,,,,6,7,0,0,0,0,-,,0,,si,Si,Bueno,Malo,Regular,Bueno,-,,0,,Bueno,B,0,0,0,0,-,,,,,0,0,0,0,0,-,,0,,,0,,No,Bueno,Flor,11,,
