familia_arbol,especie_arbol,corteza_clase,n_arboles,n_individuos_epifitos
Moraceae,Ficus benjamina,Lisa,10,61
Fabaceae,Zygia longifolia,Rugosa,9,53
Fabaceae,Caesalpinia pluviosa,Rugosa,7,38
Moraceae,Ficus elastica,Lisa,3,28
Oleaceae,Fraxinus uhdei,Rugosa,5,28
Fabaceae,Pithecellobium dulce,Rugosa,4,25
Bignoniaceae,Spathodea campanulata,Lisa,4,24
Lythraceae,Lagerstroemia speciosa,Lisa,2,13
Fabaceae,Erythrina fusca,Rugosa,1,10
Fabaceae,Bauhinia picta,Lisa,1,8
Fabaceae,Erythrina poeppigiana,Lisa,1,8
Bignoniaceae,Jacaranda mimosifolia,Rugosa,1,5
Myrtaceae,Syzygium jambos,Lisa,1,5
Moraceae,Ficus lyrata,Lisa,1,4
