"forofito_grp","n","eventos","censuras","flag_0eventos","flag_0censuras"
"Ficus benjamina",61,15,46,FALSE,FALSE
"Zygia longifolia",53,10,43,FALSE,FALSE
"Caesalpinia pluviosa",38,3,35,FALSE,FALSE
"Ficus elastica",28,5,23,FALSE,FALSE
"Fraxinus uhdei",28,6,22,FALSE,FALSE
"Pithecellobium dulce",25,6,19,FALSE,FALSE
"Spathodea campanulata",24,9,15,FALSE,FALSE
"Lagerstroemia speciosa",13,3,10,FALSE,FALSE
"Erythrina fusca",10,1,9,FALSE,FALSE
"Bauhinia picta",8,1,7,FALSE,FALSE
"Erythrina poeppigiana",8,1,7,FALSE,FALSE
"Jacaranda mimosifolia",5,2,3,FALSE,FALSE
"Syzygium jambos",5,1,4,FALSE,FALSE
"Otros",4,0,4,TRUE,FALSE
