"ind_id","arbol_id","parque_norm","epifita_canon","ubicacion_en_el_arbol","altura_planta","corteza","causa_final","primer_evento_fecha","fecha_instalacion","fecha_evento","time_days","time_months","status_natural"
32,1,"Parque Lineal El Refugio","Anthurium salvinii","rama interna",4.8,"Lisa","vivo_2023",NA,2016-03-01,2023-07-01,2678,87.9835728952772,0
72,1,"Parque Lineal El Refugio","Anthurium salvinii","rama interna",4.4,"Lisa","desaparecido",2017-06-01,2016-03-01,2017-06-01,457,15.0143737166324,0
180,1,"Parque Lineal El Refugio","Asplenium sp.","rama interna",6,"Lisa","desaparecido",2023-07-01,2016-03-01,2023-07-01,2678,87.9835728952772,0
335,1,"Parque Lineal El Refugio","Cattleya sp.","rama interna",5.3,"Lisa","desaparecido",2017-06-01,2016-03-01,2017-06-01,457,15.0143737166324,0
1,2,"Parque Lineal El Refugio","Anthurium salvinii","rama interna",5.9,"Rugosa","desaparecido",2023-07-01,2016-03-01,2023-07-01,2678,87.9835728952772,0
2,2,"Parque Lineal El Refugio","Anthurium salvinii","rama interna",3.2,"Rugosa","vivo_2023",NA,2016-03-01,2023-07-01,2678,87.9835728952772,0
38,2,"Parque Lineal El Refugio","Anthurium salvinii","rama externa",4.7,"Rugosa","desaparecido",2023-07-01,2016-03-01,2023-07-01,2678,87.9835728952772,0
105,2,"Parque Lineal El Refugio","Anthurium salvinii","rama externa",4.9,"Rugosa","vivo_2023",NA,2016-03-01,2023-07-01,2678,87.9835728952772,0
123,2,"Parque Lineal El Refugio","Anthurium salvinii","fuste",6.8,"Rugosa","desaparecido",2018-02-05,2016-03-01,2018-02-05,706,23.1950718685832,0
128,2,"Parque Lineal El Refugio","Anthurium salvinii","rama externa",4.8,"Rugosa","desaparecido",2023-07-01,2016-03-01,2023-07-01,2678,87.9835728952772,0
152,2,"Parque Lineal El Refugio","Asplenium sp.","rama externa",5.3,"Rugosa","desaparecido",2023-07-01,2016-03-01,2023-07-01,2678,87.9835728952772,0
320,2,"Parque Lineal El Refugio","Cattleya sp.","rama externa",5.1,"Rugosa","desaparecido",2016-06-16,2016-03-01,2016-06-16,107,3.51540041067762,0
343,2,"Parque Lineal El Refugio","Cattleya sp.","rama interna",3.2,"Rugosa","muerte_natural",2017-12-01,2016-03-01,2017-12-01,640,21.0266940451745,1
359,2,"Parque Lineal El Refugio","Cattleya sp.","rama externa",4.1,"Rugosa","desaparecido",2023-07-01,2016-03-01,2023-07-01,2678,87.9835728952772,0
66,3,"Parque Lineal El Refugio","Anthurium salvinii","rama externa",4.1,"Rugosa","vivo_2023",2018-02-05,2016-03-01,2023-07-01,2678,87.9835728952772,0
80,3,"Parque Lineal El Refugio","Anthurium salvinii","rama externa",3.2,"Rugosa","vivo_2023",NA,2016-03-01,2023-07-01,2678,87.9835728952772,0
100,3,"Parque Lineal El Refugio","Anthurium salvinii","rama interna",3,"Rugosa","vivo_2023",NA,2016-03-01,2023-07-01,2678,87.9835728952772,0
139,3,"Parque Lineal El Refugio","Anthurium salvinii","rama externa",4.6,"Rugosa","desaparecido",2023-07-01,2016-03-01,2023-07-01,2678,87.9835728952772,0
207,3,"Parque Lineal El Refugio","Aechmea fasciata","fuste",3.7,"Rugosa","desaparecido",2023-07-01,2016-03-01,2023-07-01,2678,87.9835728952772,0
210,3,"Parque Lineal El Refugio","Aechmea fasciata","rama externa",3.2,"Rugosa","desaparecido",2023-07-01,2016-03-01,2023-07-01,2678,87.9835728952772,0
287,3,"Parque Lineal El Refugio","Billbergia nutans","rama externa",2.9,"Rugosa","vivo_2023",NA,2016-03-01,2023-07-01,2678,87.9835728952772,0
70,5,"Parque Lineal El Refugio","Anthurium salvinii","rama externa",5.3,"Lisa","antropico",NA,2016-03-01,2023-07-01,2678,87.9835728952772,0
93,5,"Parque Lineal El Refugio","Anthurium salvinii","rama externa",4.9,"Lisa","antropico",NA,2016-03-01,2023-07-01,2678,87.9835728952772,0
109,5,"Parque Lineal El Refugio","Anthurium salvinii","rama externa",4.6,"Lisa","antropico",2016-09-18,2016-03-01,2023-07-01,2678,87.9835728952772,0
190,5,"Parque Lineal El Refugio","Asplenium sp.","rama externa",5,"Lisa","antropico",2016-09-18,2016-03-01,2023-07-01,2678,87.9835728952772,0
231,5,"Parque Lineal El Refugio","Aechmea fasciata","rama externa",3.5,"Lisa","antropico",NA,2016-03-01,2023-07-01,2678,87.9835728952772,0
323,5,"Parque Lineal El Refugio","Cattleya sp.","rama interna",4.1,"Lisa","antropico",NA,2016-03-01,2023-07-01,2678,87.9835728952772,0
350,5,"Parque Lineal El Refugio","Cattleya sp.","rama externa",4.2,"Lisa","antropico",NA,2016-03-01,2023-07-01,2678,87.9835728952772,0
358,5,"Parque Lineal El Refugio","Schomburgkia sp.","fuste",3.8,"Lisa","antropico",NA,2016-03-01,2023-07-01,2678,87.9835728952772,0
150,6,"Parque Lineal El Refugio","Anthurium salvinii","rama externa",4.8,"Lisa","vivo_2023",NA,2016-03-01,2023-07-01,2678,87.9835728952772,0
167,6,"Parque Lineal El Refugio","Asplenium sp.","rama externa",3.9,"Lisa","muerte_natural",2017-12-01,2016-03-01,2017-12-01,640,21.0266940451745,1
291,6,"Parque Lineal El Refugio","Billbergia nutans","rama externa",4.1,"Lisa","vivo_2023",NA,2016-03-01,2023-07-01,2678,87.9835728952772,0
389,6,"Parque Lineal El Refugio","Cattleya sp.","rama externa",4.6,"Lisa","vivo_2023",NA,2016-03-01,2023-07-01,2678,87.9835728952772,0
