epifita_canon,monitoreo_idx,fecha,n_obs,n_flor,pct_flor
Aechmea fasciata,1,2016-04-12,30,2,6.666666666666667
Aechmea fasciata,2,2016-05-12,30,0,0
Aechmea fasciata,3,2016-06-16,30,0,0
Aechmea fasciata,4,2016-09-18,30,0,0
Aechmea fasciata,5,2017-05-01,56,2,3.5714285714285716
Aechmea fasciata,6,2017-06-01,16,0,0
Aechmea fasciata,12,NA,30,2,6.666666666666667
Anthurium salvinii,1,2016-04-12,115,5,4.3478260869565215
Anthurium salvinii,2,2016-05-12,115,4,3.4782608695652173
Anthurium salvinii,3,2016-06-16,115,3,2.608695652173913
Anthurium salvinii,4,2016-09-18,115,0,0
Anthurium salvinii,5,2017-05-01,217,5,2.304147465437788
Anthurium salvinii,6,2017-06-01,89,1,1.1235955056179776
Anthurium salvinii,12,NA,114,13,11.403508771929825
Asplenium sp.,1,2016-04-12,30,2,6.666666666666667
Asplenium sp.,2,2016-05-12,30,3,10
Asplenium sp.,3,2016-06-16,30,0,0
Asplenium sp.,4,2016-09-18,30,0,0
Asplenium sp.,5,2017-05-01,34,0,0
Asplenium sp.,6,2017-06-01,20,1,5
Asplenium sp.,12,NA,19,0,0
Billbergia nutans,1,2016-04-12,14,0,0
Billbergia nutans,2,2016-05-12,14,1,7.142857142857143
Billbergia nutans,3,2016-06-16,14,0,0
Billbergia nutans,4,2016-09-18,14,0,0
Billbergia nutans,5,2017-05-01,22,0,0
Billbergia nutans,6,2017-06-01,9,0,0
Billbergia nutans,12,NA,11,0,0
Cattleya sp.,1,2016-04-12,72,5,6.944444444444445
Cattleya sp.,2,2016-05-12,72,3,4.166666666666667
Cattleya sp.,3,2016-06-16,72,2,2.7777777777777777
Cattleya sp.,4,2016-09-18,72,0,0
Cattleya sp.,5,2017-05-01,112,0,0
Cattleya sp.,6,2017-06-01,49,1,2.0408163265306123
Cattleya sp.,12,NA,64,3,4.6875
Guzmania sp.,1,2016-04-12,21,0,0
Guzmania sp.,2,2016-05-12,21,1,4.761904761904762
Guzmania sp.,3,2016-06-16,21,0,0
Guzmania sp.,4,2016-09-18,21,2,9.523809523809524
Guzmania sp.,5,2017-05-01,32,0,0
Guzmania sp.,6,2017-06-01,17,0,0
Guzmania sp.,12,NA,14,2,14.285714285714286
Neoregelia carolinae,1,2016-04-12,11,0,0
Neoregelia carolinae,2,2016-05-12,11,0,0
Neoregelia carolinae,3,2016-06-16,11,1,9.090909090909092
Neoregelia carolinae,4,2016-09-18,11,0,0
Neoregelia carolinae,5,2017-05-01,18,1,5.555555555555555
Neoregelia carolinae,6,2017-06-01,9,0,0
Neoregelia carolinae,12,NA,7,0,0
Schomburgkia sp.,1,2016-04-12,15,0,0
Schomburgkia sp.,2,2016-05-12,15,1,6.666666666666667
Schomburgkia sp.,3,2016-06-16,15,0,0
Schomburgkia sp.,4,2016-09-18,15,0,0
Schomburgkia sp.,5,2017-05-01,21,0,0
Schomburgkia sp.,6,2017-06-01,8,0,0
Schomburgkia sp.,12,NA,8,0,0
