epifita_canon,monitoreo_idx,fecha,n_obs,n_fruc,pct_fruc
Aechmea fasciata,1,2016-04-12,30,0,0
Aechmea fasciata,2,2016-05-12,30,0,0
Aechmea fasciata,3,2016-06-16,30,0,0
Aechmea fasciata,4,2016-09-18,30,0,0
Aechmea fasciata,5,2017-05-01,56,0,0
Aechmea fasciata,6,2017-06-01,16,0,0
Aechmea fasciata,12,NA,58,0,0
Anthurium salvinii,1,2016-04-12,115,0,0
Anthurium salvinii,2,2016-05-12,115,0,0
Anthurium salvinii,3,2016-06-16,115,0,0
Anthurium salvinii,4,2016-09-18,115,0,0
Anthurium salvinii,5,2017-05-01,216,1,0.46296296296296297
Anthurium salvinii,6,2017-06-01,89,0,0
Anthurium salvinii,12,NA,211,4,1.8957345971563981
Asplenium sp.,1,2016-04-12,30,0,0
Asplenium sp.,2,2016-05-12,30,0,0
Asplenium sp.,3,2016-06-16,30,1,3.3333333333333335
Asplenium sp.,4,2016-09-18,30,0,0
Asplenium sp.,5,2017-05-01,34,0,0
Asplenium sp.,6,2017-06-01,20,0,0
Asplenium sp.,12,NA,33,0,0
Billbergia nutans,1,2016-04-12,14,0,0
Billbergia nutans,2,2016-05-12,14,0,0
Billbergia nutans,3,2016-06-16,14,0,0
Billbergia nutans,4,2016-09-18,14,0,0
Billbergia nutans,5,2017-05-01,22,0,0
Billbergia nutans,6,2017-06-01,9,0,0
Billbergia nutans,12,NA,22,1,4.545454545454546
Cattleya sp.,1,2016-04-12,72,0,0
Cattleya sp.,2,2016-05-12,72,0,0
Cattleya sp.,3,2016-06-16,72,0,0
Cattleya sp.,4,2016-09-18,72,0,0
Cattleya sp.,5,2017-05-01,112,0,0
Cattleya sp.,6,2017-06-01,48,0,0
Cattleya sp.,12,NA,113,1,0.8849557522123894
Guzmania sp.,1,2016-04-12,21,0,0
Guzmania sp.,2,2016-05-12,21,0,0
Guzmania sp.,3,2016-06-16,21,0,0
Guzmania sp.,4,2016-09-18,21,0,0
Guzmania sp.,5,2017-05-01,33,0,0
Guzmania sp.,6,2017-06-01,17,0,0
Guzmania sp.,12,NA,30,0,0
Neoregelia carolinae,1,2016-04-12,11,0,0
Neoregelia carolinae,2,2016-05-12,11,0,0
Neoregelia carolinae,3,2016-06-16,11,0,0
Neoregelia carolinae,4,2016-09-18,11,0,0
Neoregelia carolinae,5,2017-05-01,18,0,0
Neoregelia carolinae,6,2017-06-01,9,0,0
Neoregelia carolinae,12,NA,16,0,0
Schomburgkia sp.,1,2016-04-12,15,0,0
Schomburgkia sp.,2,2016-05-12,15,0,0
Schomburgkia sp.,3,2016-06-16,15,0,0
Schomburgkia sp.,4,2016-09-18,15,0,0
Schomburgkia sp.,5,2017-05-01,21,0,0
Schomburgkia sp.,6,2017-06-01,8,0,0
Schomburgkia sp.,12,NA,21,0,0
