epifita_canon,pct,antropico,desaparecido,muerte_natural,vivo_2023
Aechmea fasciata,3.2,1,0,0,0
Aechmea fasciata,45.2,0,14,0,0
Aechmea fasciata,19.4,0,0,6,0
Aechmea fasciata,32.3,0,0,0,10
Anthurium salvinii,4.3,5,0,0,0
Anthurium salvinii,39.7,0,46,0,0
Anthurium salvinii,6,0,0,7,0
Anthurium salvinii,50,0,0,0,58
Asplenium sp.,10,3,0,0,0
Asplenium sp.,50,0,15,0,0
Asplenium sp.,40,0,0,12,0
Billbergia nutans,35.7,0,5,0,0
Billbergia nutans,21.4,0,0,3,0
Billbergia nutans,42.9,0,0,0,6
Cattleya sp.,4.2,3,0,0,0
Cattleya sp.,44.4,0,32,0,0
Cattleya sp.,26.4,0,0,19,0
Cattleya sp.,25,0,0,0,18
Guzmania sp.,47.6,0,10,0,0
Guzmania sp.,42.9,0,0,9,0
Guzmania sp.,9.5,0,0,0,2
Neoregelia carolinae,9.1,1,0,0,0
Neoregelia carolinae,27.3,0,3,0,3
Neoregelia carolinae,36.4,0,0,4,0
Schomburgkia sp.,6.7,1,0,0,0
Schomburgkia sp.,60,0,9,0,0
Schomburgkia sp.,20,0,0,3,0
Schomburgkia sp.,13.3,0,0,0,2
