parque_norm,pct,antropico,desaparecido,muerte_natural,vivo_2023
Parque El Triángulo y quebrada La Picacha,3,6,0,0,0
Parque El Triángulo y quebrada La Picacha,41.1,0,83,0,0
Parque El Triángulo y quebrada La Picacha,22.8,0,0,46,0
Parque El Triángulo y quebrada La Picacha,33.2,0,0,0,67
Parque Lineal El Refugio,19,8,0,0,0
Parque Lineal El Refugio,40.5,0,17,0,0
Parque Lineal El Refugio,7.1,0,0,3,0
Parque Lineal El Refugio,33.3,0,0,0,14
Parque de Conquistadores,51.5,0,34,0,0
Parque de Conquistadores,21.2,0,0,14,0
Parque de Conquistadores,27.3,0,0,0,18
